Wavelength,Melanopic lux,Wavelength,CIE Scotopic 1951,Wavelength,CIE Photopic 1924,Wavelength,Photosynthesis,Wavelength,Cleve Moth Attraction,Wavelength,Bee Attraction,Wavelength,Green Turtle 92,Wavelength,Juvenile Salmon,Wavelength,Chelonia,Wavelength,Shearwater,Wavelength,Starry Light,Wavelength,Skyglow Rayleigh City Center,Wavelength,Skyglow Mie Remote,Wavelength,Loggerhead Hatchling Attraction,Wavelength,van Grunsven Insect Phototaxis
,,444,0.3803,424,0.00654616,464,0.92,314,0.114878074,314,0,444,0.992790205,414,0.868357195,414,0.859744912,414,0.452992788,670,0.000112376,670,3.95386E-05,670,5.14536E-05,414,0.760523616,344,0.776351089
,,445,0.3931,425,0.0073,465,0.92,315,0.12676827,315,0,445,0.994206833,415,0.879717086,415,0.848035717,415,0.451932568,675,7.60129E-05,675,2.60383E-05,675,3.41124E-05,415,0.762992832,345,0.784249483
,,446,0.406,426,0.008086507,466,0.92,316,0.131332663,316,0,446,0.995479382,416,0.890804127,416,0.837180071,416,0.45102934,680,5.16544E-05,680,1.72303E-05,680,2.27237E-05,416,0.765458438,346,0.792219309
,,447,0.418,427,0.00890872,467,0.92,317,0.135923398,317,0,447,0.996603231,417,0.901533325,417,0.827206321,417,0.450292368,685,3.42148E-05,685,1.11159E-05,685,1.47569E-05,417,0.767920177,347,0.800254664
,,448,0.431,428,0.00976768,468,0.92,318,0.140540474,318,0,448,0.997573732,418,0.911880602,418,0.81807618,418,0.44973099,690,2.27319E-05,690,7.19445E-06,690,9.61367E-06,418,0.770377787,348,0.80834839
,,449,0.443,429,0.01066443,469,0.91,319,0.145183891,319,0,449,0.998386198,419,0.921830872,419,0.809750719,419,0.449354623,695,1.63097E-05,695,5.02944E-06,695,6.76446E-06,419,0.772831008,349,0.816492078
,,450,0.455,430,0.0116,470,0.91,320,0.14985365,320,0,450,0.999035911,420,0.931368857,420,0.802190572,420,0.449172762,700,1.17629E-05,700,3.53493E-06,700,4.78516E-06,420,0.775279575,350,0.824676062
,,451,0.467,431,0.01257317,471,0.91,321,0.162692134,321,0,451,0.999519492,421,0.94047046,421,0.79535594,421,0.449194978,705,0.008573422,705,0.00251126,705,0.003421281,421,0.777723222,351,0.832889429
,,452,0.479,432,0.01358272,472,0.91,322,0.175607819,322,0,452,0.999839031,422,0.949095089,422,0.789206592,422,0.449430918,710,0.00627118,710,0.00179076,710,0.002455257,422,0.780161681,352,0.841120029
,,453,0.49,433,0.01462968,473,0.91,323,0.188600448,323,0,453,0.999998022,423,0.957200013,423,0.783701863,423,0.44989031,715,0.004140289,715,0.001152782,715,0.001590558,423,0.782594683,353,0.849354486
