Wavelength,D65,Los Angeles LED,LEDway Streetlight CW 54W,150 W HPS,OCTRON 32 W,Iwasaki 60W,Ceramic Metal Halide 70 W,74 WW CW7,3000K LED,74 WW CW10,LPS 18 W,Metal Halide 70W,Anna,AEL 75W,PC Amber Cree,Cosmopolis 60W,LLT Telescope Light,Yard Blaster,SORAA Vivid,Kerosene Oil,TL950,Feit Red LED,CFL Greenlite 13 W,A,Full moon,LSG Good Night 2016,Philips AmbientLED
493,0.00001505,2.94E-06,0.000006055,0.000002954,0.00001313,0.000003589,3.99E-06,4.29E-07,6.05E-06,1.01E-08,5.04E-08,3.99E-06,0,1.74E-07,1.49E-07,4.44E-06,1.54E-06,0.000004703,0.00001629,0.000003636,0.00001621,5.76E-08,7.30E-06,0.000007559,1.15E-05,3.07E-06,0.000004102
494,0.00001508,3.10E-06,0.000006164,4.78E-06,0.00001198,0.000003516,0.000004051,4.83E-07,6.31E-06,1.19E-08,1.06E-07,4.05E-06,0,1.97E-07,1.71E-07,0.000004824,1.68E-06,0.000005086,0.00001621,0.000003769,0.00001603,5.57E-08,0.000006468,0.000007642,1.16E-05,0.0000032,0.000004212
495,0.00001511,3.29E-06,0.000006304,0.000007052,0.00001086,0.000003356,0.000004184,5.36E-07,6.58E-06,1.36E-08,1.64E-07,4.18E-06,0,2.24E-07,1.99E-07,5.44E-06,1.80E-06,0.00000549,0.00001613,0.000003779,0.00001583,5.34E-08,0.00000569,0.000007715,1.17E-05,0.000003335,0.000004328
496,1.51E-05,3.49E-06,0.000006475,0.000009278,0.000009764,0.000003206,0.000004366,6.36E-07,6.85E-06,2.00E-08,2.10E-07,4.37E-06,0,2.46E-07,2.24E-07,6.18E-06,1.91E-06,0.000005875,0.00001605,3.87E-06,0.00001564,5.08E-08,0.000004948,7.79E-06,1.17E-05,0.000003471,0.000004432
497,0.00001516,3.73E-06,6.66E-06,0.00001087,0.000008683,3.16E-06,0.000004557,7.35E-07,7.04E-06,2.64E-08,2.37E-07,4.56E-06,0,2.79E-07,2.39E-07,0.000006839,2.04E-06,0.000006142,0.00001598,0.000004111,0.00001547,4.79E-08,0.000004274,0.000007873,1.17E-05,0.000003605,0.000004536
498,0.00001516,4.03E-06,0.000006882,0.00001167,0.000007636,0.000003143,0.000004722,8.35E-07,7.17E-06,3.27E-08,2.51E-07,4.72E-06,0,3.11E-07,2.89E-07,0.000007293,2.17E-06,0.000006324,0.00001591,0.000004032,0.0000153,4.46E-08,0.000003662,0.000007963,1.17E-05,0.000003734,0.000004656
499,0.00001516,4.33E-06,0.000007128,0.00001155,0.000006626,0.000003108,0.000004841,9.35E-07,7.22E-06,3.91E-08,2.48E-07,4.84E-06,0,3.52E-07,3.20E-07,0.000007474,2.29E-06,0.000006442,1.58E-05,0.000004037,0.00001513,4.10E-08,0.000003102,0.000008049,1.17E-05,0.000003856,0.000004778
500,0.00001515,4.57E-06,0.000007387,1.02E-05,0.000005601,3.08E-06,0.000004925,1.03E-06,7.33E-06,4.55E-08,2.18E-07,4.92E-06,0,4.02E-07,4.01E-07,0.000007374,2.40E-06,0.00000646,0.00001577,0.000004118,0.00001498,3.72E-08,0.000002592,0.000008123,1.17E-05,0.000003968,0.000004884
501,1.51E-05,4.78E-06,0.000007667,7.60E-06,0.000004638,0.000003076,0.000004933,1.19E-06,7.31E-06,6.92E-08,1.49E-07,4.93E-06,0,4.49E-07,4.17E-07,0.000006996,2.51E-06,0.000006295,0.00001569,0.000004112,1.48E-05,3.31E-08,2.14E-06,0.000008198,1.17E-05,0.000004079,0.000004992
502,0.00001512,5.02E-06,0.000007966,0.000004491,0.000003813,3.11E-06,0.000004877,1.35E-06,7.70E-06,9.30E-08,6.47E-08,4.88E-06,0,5.01E-07,4.91E-07,0.000006503,2.64E-06,0.000006464,0.00001558,0.000004109,1.46E-05,2.88E-08,0.000001749,8.28E-06,1.17E-05,0.000004194,0.000005118
503,0.00001509,5.26E-06,0.000008278,0.000002394,3.20E-06,0.000003154,0.00000482,1.50E-06,7.71E-06,1.17E-07,2.80E-08,4.82E-06,0,5.61E-07,5.25E-07,0.000006087,2.77E-06,0.000008079,0.00001546,0.000004288,0.00001438,2.44E-08,0.000001431,0.000008377,1.17E-05,0.000004314,0.000005243
504,0.00001507,5.49E-06,0.000008597,0.000001343,0.000002779,0.000003195,0.000004775,1.66E-06,7.85E-06,1.41E-07,1.79E-08,4.77E-06,0,6.20E-07,6.31E-07,0.000005869,2.90E-06,0.00001174,0.00001535,0.000004595,0.00001419,2.00E-08,0.000001179,8.46E-06,1.18E-05,0.000004437,0.000005349
505,1.50E-05,5.76E-06,0.000008925,0.000001006,0.000002498,0.000003235,0.000004719,1.82E-06,8.11E-06,1.64E-07,1.87E-08,4.72E-06,0,7.01E-07,6.78E-07,0.000005747,3.00E-06,0.00001688,0.00001525,4.68E-06,0.000014,1.58E-08,9.87E-07,0.00000854,1.18E-05,0.00000456,0.000005454
506,0.00001503,6.12E-06,0.000009261,8.41E-07,0.000002305,0.000003275,0.000004618,2.04E-06,8.31E-06,2.25E-07,1.62E-08,4.62E-06,0,7.66E-07,7.43E-07,0.000005631,3.09E-06,0.00002236,0.00001513,0.000004744,0.00001379,1.17E-08,8.49E-07,0.000008616,1.19E-05,0.000004681,0.000005574
507,0.00001501,6.50E-06,0.00000959,7.53E-07,0.000002166,0.000003306,0.00000448,2.26E-06,8.38E-06,2.85E-07,2.37E-08,4.48E-06,0,8.40E-07,8.52E-07,0.000005466,3.21E-06,0.00002699,0.00001502,0.000004836,0.00001358,8.04E-09,7.49E-07,0.000008704,1.20E-05,0.000004797,0.000005695
508,0.00001498,6.82E-06,9.93E-06,7.06E-07,2.07E-06,3.34E-06,0.000004378,2.48E-06,8.21E-06,3.45E-07,2.55E-08,4.38E-06,0,9.22E-07,9.20E-07,0.000005425,3.33E-06,0.00002994,0.00001492,4.92E-06,0.00001341,4.83E-09,6.78E-07,0.000008798,1.21E-05,0.000004905,0.000005799
509,1.50E-05,7.11E-06,0.00001027,7.13E-07,0.000002012,0.000003386,0.000004362,2.70E-06,8.54E-06,4.06E-07,1.47E-08,4.36E-06,0,9.95E-07,1.02E-06,0.000005538,3.47E-06,0.00003043,0.00001482,0.000004741,0.00001324,2.14E-09,6.27E-07,0.000008888,1.22E-05,5.00E-06,0.000005904
510,0.00001494,7.44E-06,0.00001061,8.64E-07,0.000001972,0.000003436,0.000004399,2.92E-06,8.80E-06,4.66E-07,2.63E-08,4.40E-06,0,1.11E-06,1.14E-06,0.000005736,3.59E-06,0.00002736,0.0000147,0.000004991,0.00001304,9.48E-22,5.90E-07,0.000008965,1.22E-05,0.000005092,0.00000603
511,0.00001491,7.76E-06,0.00001095,0.000001223,0.00000194,0.000003485,0.000004481,3.18E-06,8.93E-06,5.88E-07,4.44E-08,4.48E-06,0,1.21E-06,1.21E-06,0.000006078,3.74E-06,0.00002101,0.00001459,0.000005461,1.28E-05,0,5.60E-07,9.04E-06,1.22E-05,0.000005181,0.000006155
512,0.00001487,8.06E-06,0.00001128,0.000001752,0.000001911,0.000003531,0.000004597,3.43E-06,8.97E-06,7.10E-07,6.00E-08,4.60E-06,0,1.31E-06,1.36E-06,6.51E-06,3.92E-06,1.31E-05,1.45E-05,0.000005407,0.00001268,0,5.31E-07,0.000009132,1.22E-05,0.00000528,0.000006259
513,1.48E-05,8.39E-06,0.0000116,0.000002285,0.000001882,0.000003575,0.000004739,3.70E-06,8.96E-06,8.32E-07,7.37E-08,4.74E-06,0,1.41E-06,1.43E-06,0.000006936,4.12E-06,0.000007385,0.00001442,0.00000546,0.00001252,0,5.04E-07,0.000009228,1.21E-05,0.000005388,6.36E-06
514,1.48E-05,8.78E-06,0.00001193,0.000002679,0.000001853,0.000003617,0.000004835,3.96E-06,9.23E-06,9.54E-07,8.21E-08,4.83E-06,0,1.53E-06,1.57E-06,0.000007135,4.32E-06,0.000004065,1.43E-05,0.000005543,1.23E-05,0,4.81E-07,0.000009319,1.20E-05,0.000005505,0.00000648
515,0.00001473,9.16E-06,0.00001224,0.000002878,0.000001822,3.66E-06,0.000004893,4.22E-06,9.47E-06,1.08E-06,8.75E-08,4.89E-06,0,1.66E-06,1.69E-06,7.24E-06,4.49E-06,0.000002686,0.00001422,0.000005585,0.00001213,0,4.61E-07,0.000009397,1.20E-05,0.000005627,0.000006601
516,0.00001467,9.48E-06,1.25E-05,0.000002873,0.000001785,0.00000369,0.000004964,4.51E-06,9.37E-06,1.28E-06,9.34E-08,4.96E-06,0,1.78E-06,1.83E-06,0.000007347,4.66E-06,0.000002207,0.00001413,0.000005719,0.00001195,0,4.44E-07,0.000009476,1.19E-05,0.00000575,0.000006708
517,0.00001461,9.77E-06,1.28E-05,0.000002458,0.000001748,0.00000373,5.06E-06,4.81E-06,9.69E-06,1.48E-06,8.20E-08,5.06E-06,0,1.90E-06,1.98E-06,0.00000746,4.85E-06,0.000002326,0.00001403,0.000005859,0.00001175,0,4.30E-07,9.57E-06,1.19E-05,0.00000587,0.000006819
518,0.00001456,1.01E-05,0.00001312,0.000001752,1.71E-06,0.000003775,0.000005179,5.10E-06,9.74E-06,1.68E-06,6.14E-08,5.18E-06,0,2.04E-06,2.04E-06,0.000007454,5.05E-06,0.000002763,0.00001392,0.000005923,0.00001153,0,4.20E-07,0.000009665,1.20E-05,0.000005984,0.000006956
519,0.00001453,1.04E-05,1.34E-05,0.000001,0.000001673,0.000003823,0.000005291,5.40E-06,9.90E-06,1.88E-06,4.52E-08,5.29E-06,0,2.17E-06,2.17E-06,7.34E-06,5.23E-06,0.000003303,0.00001381,0.000005897,1.13E-05,0,4.13E-07,0.000009758,1.21E-05,0.000006089,0.000007097
